Sample;X(ms) [15.02.2026 04:18:44 862 UTC];"l1[%MD44]";"l2[%MD40]";"AO_u[%QD0]"
316;1771129139859,682926;0,0773221030831337;0,260422438383102;3,63084244728088
317;1771129139925,561026;0,0777918621897697;0,260744005441666;3,6227114200592
318;1771129139984,561026;0,0782665684819221;0,261284619569778;3,61475467681885
319;1771129140046,803726;0,0787402242422104;0,262378990650177;3,61658358573914
320;1771129140109,450326;0,0791887491941452;0,26301696896553;3,65813684463501
321;1771129140172,914426;0,0796367079019547;0,263952016830444;3,65938568115234
322;1771129140234,854726;0,0800820142030716;0,264283895492554;3,66396999359131
323;1771129140297,973126;0,0805312693119049;0,26445546746254;3,65777587890625
324;1771129140359,757326;0,080985352396965;0,264841198921204;3,64999556541443
325;1771129140424,361126;0,0814433246850967;0,265335291624069;3,64395904541016
326;1771129140486,272426;0,0818797275424004;0,265693128108978;3,67958855628967
327;1771129140546,382226;0,0823403373360634;0,266948819160461;3,64008140563965
328;1771129140610,486026;0,0827775672078133;0,26718008518219;3,67883586883545
329;1771129140672,767226;0,0832191556692123;0,267425239086151;3,67188453674316
330;1771129140735,373426;0,0836675614118576;0,268026262521744;3,66099095344543
331;1771129140797,501426;0,0841170847415924;0,269031286239624;3,65948367118835
332;1771129140860,479826;0,084568977355957;0,269803434610367;3,65571522712708
333;1771129140922,181826;0,0850230753421783;0,270475745201111;3,65242576599121
334;1771129140984,143526;0,0854779034852982;0,271141141653061;3,65138244628906
335;1771129141046,918826;0,0859352499246597;0,271968334913254;3,64749026298523
336;1771129141109,425826;0,0863715410232544;0,272449314594269;3,68232727050781
337;1771129141172,714726;0,0868136435747147;0,273461312055588;3,67311573028564
338;1771129141236,503826;0,0872557312250137;0,274365484714508;3,67339277267456
339;1771129141298,273126;0,0876992493867874;0,275049090385437;3,67131471633911
340;1771129141362,732426;0,0881449207663536;0,275706052780151;3,66805267333984
341;1771129141424,401926;0,0885946452617645;0,276262670755386;3,66154456138611
342;1771129141484,420726;0,0890501439571381;0,27725675702095;3,6523699760437
343;1771129141547,861026;0,0895062983036041;0,278192669153214;3,6516056060791
344;1771129141609,450926;0,0899611189961433;0,278783738613129;3,6538782119751
345;1771129141674,749326;0,0904150381684303;0,279286086559296;3,65556573867798
346;1771129141735,405826;0,0908479914069176;0,279482632875443;3,69040679931641
347;1771129141798,317426;0,0912875682115555;0,279973715543747;3,67972755432129
348;1771129141862,813926;0,09173284471035;0,280748337507248;3,67058897018433
349;1771129141924,810726;0,0921828001737595;0,281828641891479;3,66319131851196
350;1771129141986,889826;0,0926316305994987;0,282561898231506;3,66528701782227
351;1771129142048,443426;0,0930812880396843;0,283090233802795;3,66414976119995
352;1771129142111,510226;0,0935325026512146;0,283770829439163;3,66183090209961
353;1771129142175,033726;0,0939854308962822;0,284496515989304;3,65921020507813
354;1771129142238,183026;0,0944179147481918;0,284928530454636;3,69306564331055
355;1771129142298,015326;0,0948568359017372;0,285862892866135;3,68277287483215
356;1771129142362,115626;0,0952966436743736;0,286828964948654;3,68167066574097
357;1771129142423,655626;0,0957382321357727;0,287344753742218;3,67889785766602
358;1771129142488,424926;0,0961824208498001;0,287952929735184;3,67493867874146
359;1771129142551,043626;0,0966285169124603;0,288778036832809;3,67194867134094
360;1771129142614,598926;0,0970796048641205;0,289495378732681;3,66404581069946
361;1771129142672,450226;0,0975312441587448;0,290478378534317;3,66337943077087
