Sample;X(ms) [24.02.2026 18:59:44 014 UTC];"AO_u[%QD0]";"l1[%MD44]";"l2[%MD40]"
400;1771959604480,172443;5;0,15279059112072;0,466532766819
401;1771959604542,620343;5;0,153420969843864;0,467618554830551
402;1771959604605,228143;5;0,154045581817627;0,468702763319016
403;1771959604666,698243;5;0,154361352324486;0,4692442715168
404;1771959604729,402043;5;0,154836311936378;0,470055758953094
405;1771959604791,785543;5;0,155464917421341;0,471136391162872
406;1771959604854,219543;5;0,156097173690796;0,472215473651886
407;1771959604916,802143;5;0,156726866960526;0,473292917013168
408;1771959604980,367143;5;0,157357856631279;0,474368751049042
409;1771959605042,592943;5;0,157986655831337;0,475443035364151
410;1771959605104,712543;5;0,15861701965332;0,476515829563141
411;1771959605167,045643;5;0,158934533596039;0,477051585912704
412;1771959605229,840943;5;0,159565195441246;0,478122025728226
413;1771959605292,487143;5;0,160197883844376;0,479190826416016
414;1771959605354,744843;5;0,160830765962601;0,480258077383041
415;1771959605417,121843;5;0,161461710929871;0,481323808431625
416;1771959605479,899743;5;0,162096291780472;0,482387989759445
417;1771959605542,542443;5;0,162879273295403;0,483716040849686
418;1771959605605,351143;5;0,163513973355293;0,484776765108109
419;1771959605668,004743;5;0,163834095001221;0,485306531190872
420;1771959605730,396743;5;0,164470180869102;0,486364901065826
421;1771959605792,901043;5;0,165100678801537;0,487421780824661
422;1771959605856,366843;5;0,165731847286224;0,488477140665054
423;1771959605917,854943;5;0,166364818811417;0,489530920982361
424;1771959605980,915343;5;0,166839510202408;0,490320295095444
425;1771959606043,638543;5;0,167472019791603;0,491371482610703
426;1771959606105,885043;5;0,168266758322716;0,492683380842209
427;1771959606168,078843;5;0,168583422899246;0,493207424879074
428;1771959606230,692543;5;0,169213682413101;0,494254469871521
429;1771959606293,327643;5;0,169852614402771;0,495300024747849
430;1771959606355,735943;5;0,1704922914505;0,496344059705734
431;1771959606418,314743;5;0,171122491359711;0,497386574745178
432;1771959606481,197443;5;0,171754851937294;0,498427629470825
433;1771959606543,980543;5;0,172229647636414;0,499207437038422
434;1771959606606,078243;5;0,173023641109467;0,500505328178406
435;1771959606668,516943;5;0,173344045877457;0,501023828983307
436;1771959606732,425143;5;0,173982426524162;0,502059698104858
437;1771959606793,731443;5;0,174617916345596;0,503094077110291
438;1771959606856,202243;5;0,175254046916962;0,504127025604248
439;1771959606918,639543;5;0,175886780023575;0,505158483982086
440;1771959606981,193543;5;0,176362261176109;0,50593113899231
441;1771959607043,893643;5;0,17715772986412;0,507216989994049
442;1771959607106,916843;5;0,177795708179474;0,508244097232819
443;1771959607168,917543;5;0,177954971790314;0,508500635623932
444;1771959607231,596343;5;0,178748473525047;0,509782016277313
445;1771959607294,376643;5;0,179225921630859;0,51054972410202
446;1771959607356,919243;5;0,179865330457687;0,511572182178497
447;1771959607419,521243;5;0,180501520633698;0,51259309053421
448;1771959607481,867743;5;0,181137129664421;0,513612627983093
449;1771959607544,271643;5;0,181775957345963;0,514630675315857
450;1771959607608,226643;5;0,182412281632423;0,515647351741791
451;1771959607669,161143;5;0,183051183819771;0,516662538051605
452;1771959607731,826543;5;0,183370813727379;0,517169594764709
453;1771959607794,520243;5;0,184165999293327;0,518435776233673
454;1771959607857,217743;5;0,184644415974617;0,519194364547729
455;1771959607919,599743;5;0,185283660888672;0,520204663276672
456;1771959607982,526343;5;0,185923278331757;0,521213471889496
457;1771959608046,098743;5;0,186558485031128;0,52222090959549
458;1771959608108,305143;5;0,187197789549828;0,523226976394653
459;1771959608170,424043;5;0,187839239835739;0,524231612682343
460;1771959608233,177243;5;0,188474610447884;0,525234818458557
461;1771959608296,432143;5;0,189113810658455;0,526236712932587
462;1771959608360,074143;5;0,189433410763741;0,526737034320831
463;1771959608420,503543;5;0,190070658922195;0,527736783027649
464;1771959608483,490843;5;0,190710261464119;0,528735220432281
465;1771959608546,615843;5;0,19135083258152;0,529732167720795
466;1771959608609,466543;5;0,191990718245506;0,530727803707123
467;1771959608671,354743;5;0,192631676793098;0,531722009181976
468;1771959608732,906743;5;0,19326613843441;0,53271484375
469;1771959608796,438643;5;0,193903431296349;0,533706367015839
470;1771959608859,064143;5;0,194227978587151;0,534201622009277
471;1771959608923,849743;5;0,194874152541161;0,535190999507904
472;1771959608984,137443;5;0,195508390665054;0,53617912530899
473;1771959609046,343843;5;0,196147337555885;0,537165820598602
474;1771959609109,065743;5;0,196867451071739;0,53827428817749
475;1771959609171,329743;5;0,197507262229919;0,539258122444153
476;1771959609233,995743;5;0,198147937655449;0,540240585803986
477;1771959609296,326243;5;0,198790818452835;0,541221678256989
478;1771959609358,677943;5;0,199111759662628;0,541711807250977
479;1771959609421,318943;5;0,199749752879143;0,542690932750702
480;1771959609484,793443;5;0,200390562415123;0,543668687343597
481;1771959609546,851443;5;0,201032713055611;0,544645130634308
482;1771959609608,953643;5;0,201671943068504;0,545620262622833
483;1771959609671,506543;5;0,202152356505394;0,5463507771492
484;1771959609734,112743;5;0,202792331576347;0,547323524951935
485;1771959609797,307343;5;0,20327328145504;0,548052251338959
